epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3403,2.45165,3.5422,2.78267,0.00249,0.72727,0.00384,0.00066,2.97601,5.16303,3.09661,3.334e-05,3.334e-05,3.334e-05
2,46.8583,2.77953,3.84958,2.92465,0.00221,0.60227,0.00262,0.00056,3.00679,5.09799,3.04223,8.16997e-05,8.16997e-05,8.16997e-05
3,69.1002,2.02233,3.53952,2.47783,0.0025,0.64773,0.02479,0.00582,2.74133,4.80327,3.03447,0.000128079,0.000128079,0.000128079
4,91.9448,2.41559,3.62585,2.63495,0.0022,0.60227,0.17135,0.05028,2.57049,4.73326,2.90003,0.000172478,0.000172478,0.000172478
5,114.02,2.17792,3.43432,2.43835,0.00219,0.60227,0.1433,0.06936,2.67114,4.62723,2.93797,0.000214896,0.000214896,0.000214896
6,137.006,2.06695,3.33625,2.30691,0.0022,0.60227,0.20946,0.11518,2.46684,4.50957,2.77456,0.000255334,0.000255334,0.000255334
7,159.42,1.95662,3.20435,2.12661,0.00222,0.60227,0.1907,0.11496,2.7275,4.9041,3.02502,0.000293792,0.000293792,0.000293792
8,181.142,1.83091,3.1248,2.05414,0.0025,0.72727,0.15255,0.11603,2.84129,5.04413,2.90018,0.000330269,0.000330269,0.000330269
9,202.757,1.95522,3.18427,2.1311,0.00303,0.81818,0.01539,0.00365,2.92654,4.94323,2.90088,0.000364766,0.000364766,0.000364766
10,224.225,2.146,3.27701,2.2347,0.00277,0.77273,0.01039,0.00251,2.95724,4.97777,2.94101,0.000397283,0.000397283,0.000397283
11,246.626,1.95818,3.04718,2.11554,0.00224,0.60227,0.00324,0.00107,3.1406,5.29079,3.06878,0.000427819,0.000427819,0.000427819
12,268.736,1.89566,3.11592,2.07797,0.0017,0.43182,0.00443,0.0016,3.14506,5.30051,3.19447,0.000456375,0.000456375,0.000456375
13,290.753,1.82127,2.98274,2.03412,0.00155,0.30682,0.00525,0.00099,3.31705,5.60531,3.50222,0.00048295,0.00048295,0.00048295
14,312.928,1.87686,2.83954,2.04253,0.00114,0.34091,0.00256,0.00069,3.63632,5.99287,3.7936,0.000507545,0.000507545,0.000507545
15,335.58,1.7742,2.93845,1.99177,0.00056,0.17045,0.00025,6e-05,3.86445,6.20348,3.99637,0.000530159,0.000530159,0.000530159
16,357.632,1.87799,2.88185,2.05851,0.00056,0.17045,0.00029,8e-05,3.71912,6.30874,4.01601,0.000550793,0.000550793,0.000550793
17,380.275,1.89885,3.20432,2.15131,0.00082,0.29545,0.01149,0.0038,3.24841,5.82033,3.56321,0.000569447,0.000569447,0.000569447
18,402.732,1.85221,2.74411,2.02752,0.00139,0.38636,0.02606,0.00317,3.26183,5.08571,3.71997,0.000586121,0.000586121,0.000586121
19,425.023,2.05943,2.99047,2.15275,0.00279,0.77273,0.02696,0.00359,2.7922,4.96898,3.31999,0.000600813,0.000600813,0.000600813
20,447.907,1.72241,2.81408,1.96857,0.00194,0.63636,0.02064,0.0048,2.8533,4.74283,3.36081,0.000613526,0.000613526,0.000613526
21,469.653,1.72733,2.73623,1.96029,0.00879,0.51136,0.02855,0.00764,2.59436,4.59752,3.13407,0.000624258,0.000624258,0.000624258
22,491.71,1.5366,2.71619,1.85156,0.0079,0.25,0.03481,0.01146,2.53046,4.81521,2.96201,0.00063301,0.00063301,0.00063301
23,513.129,1.67871,2.7013,1.83219,0.54692,0.25,0.04246,0.01583,2.61316,5.05873,3.01501,0.000639781,0.000639781,0.000639781
24,533.851,1.59897,2.68929,1.89948,0.0222,0.25,0.03296,0.01458,2.61179,4.81359,3.038,0.000644572,0.000644572,0.000644572
25,555.12,1.59322,2.68248,1.85902,0.01349,0.14251,0.03088,0.01171,2.4485,4.71866,3.07464,0.000647383,0.000647383,0.000647383
26,576.731,1.51533,2.48701,1.78822,0.00226,0.68182,0.02981,0.01197,2.68841,4.81982,3.26167,0.000648213,0.000648213,0.000648213
27,598.149,1.63247,2.47212,1.84706,0.00195,0.55682,0.01604,0.0056,2.60901,5.09282,3.07036,0.000647063,0.000647063,0.000647063
28,619.722,1.48234,2.23447,1.72395,0.00257,0.72727,0.01538,0.00446,2.54592,5.25841,3.32004,0.000643932,0.000643932,0.000643932
29,641.189,1.42928,2.39447,1.73662,0.00257,0.72727,0.01538,0.00446,2.54592,5.25841,3.32004,0.000638821,0.000638821,0.000638821
30,663.307,1.56121,2.3898,1.77137,0.00225,0.60227,0.01987,0.00788,2.64007,5.29332,3.28248,0.00063173,0.00063173,0.00063173
31,685.272,1.6863,2.27466,1.76601,0.00164,0.43182,0.01961,0.00782,2.59267,5.34898,3.33443,0.000622658,0.000622658,0.000622658
32,707.325,1.65844,2.55709,1.80656,0.03191,0.29545,0.02655,0.0073,2.58586,5.35268,3.17809,0.000611606,0.000611606,0.000611606
33,728.704,1.51586,2.39979,1.71312,0.03191,0.29545,0.02655,0.0073,2.58586,5.35268,3.17809,0.000598573,0.000598573,0.000598573
34,749.798,1.62551,2.31002,1.75279,0.01759,0.29545,0.0158,0.00929,2.62696,5.21171,3.32336,0.000577782,0.000577782,0.000577782
35,771.074,1.572,2.54183,1.80105,0.04859,0.21668,0.03076,0.01495,2.74444,5.13723,3.34508,0.000544776,0.000544776,0.000544776
36,793.671,1.57718,2.36297,1.79885,0.19864,0.17296,0.12515,0.05011,2.69072,6.21403,3.36079,0.000511769,0.000511769,0.000511769
37,815.757,1.58211,2.43025,1.79169,0.19864,0.17296,0.12515,0.05011,2.69072,6.21403,3.36079,0.000478762,0.000478762,0.000478762
38,837.946,1.45364,2.16539,1.71915,0.5,0.24286,0.24847,0.08085,2.58898,6.62021,3.43547,0.000445756,0.000445756,0.000445756
39,859.593,1.51347,2.26619,1.71756,0.16778,0.125,0.15451,0.04659,2.71265,5.59206,3.50402,0.000412749,0.000412749,0.000412749
40,881.276,1.45803,1.97311,1.69284,0.15087,0.125,0.06081,0.02275,2.71629,5.28338,3.45722,0.000379743,0.000379743,0.000379743
41,904.615,1.7191,3.01628,2.03243,0.15087,0.125,0.06081,0.02275,2.71629,5.28338,3.45722,0.000346736,0.000346736,0.000346736
42,927.669,1.55867,3.04343,2.01821,0.08899,0.125,0.03994,0.01446,2.74054,5.06797,3.45351,0.000313729,0.000313729,0.000313729
43,949.542,1.42271,2.7175,1.75571,0.13859,0.125,0.05061,0.01757,2.72457,4.85627,3.39044,0.000280723,0.000280723,0.000280723
44,971.478,1.46681,2.67904,1.89912,0.31182,0.125,0.13031,0.04071,2.60142,4.75751,3.24534,0.000247716,0.000247716,0.000247716
45,993.19,1.32204,2.6173,1.80596,0.31182,0.125,0.13031,0.04071,2.60142,4.75751,3.24534,0.00021471,0.00021471,0.00021471
46,1017.64,1.40812,2.37945,1.82893,0.38117,0.125,0.13621,0.05461,2.55104,4.58534,3.16452,0.000181703,0.000181703,0.000181703
47,1043.38,1.4272,2.53999,1.94204,0.38052,0.125,0.14969,0.0614,2.55752,4.51663,3.1438,0.000148696,0.000148696,0.000148696
48,1070.07,1.32143,2.52766,1.81573,0.3359,0.29333,0.20244,0.07959,2.59278,4.42818,3.14266,0.00011569,0.00011569,0.00011569
49,1095.63,1.25088,2.3899,1.7346,0.3359,0.29333,0.20244,0.07959,2.59278,4.42818,3.14266,8.26832e-05,8.26832e-05,8.26832e-05
50,1120.23,1.15233,2.34915,1.68207,0.20242,0.25,0.2022,0.07968,2.59989,4.43501,3.13684,4.96766e-05,4.96766e-05,4.96766e-05
