epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.06501,0,37.0449,0,0,0,0,0,0,38.0426,0,3.334e-05,3.334e-05,3.334e-05
2,17.241,0,36.7113,0,0,0,0,0,0,38.138,0,8.16997e-05,8.16997e-05,8.16997e-05
3,24.8324,0,36.136,0,0,0,0,0,0,38.159,0,0.000128079,0.000128079,0.000128079
4,30.6891,0,35.6119,0,0,0,0,0,0,38.1363,0,0.000172478,0.000172478,0.000172478
5,37.3312,0,34.8943,0,0,0,0,0,0,38.0754,0,0.000214896,0.000214896,0.000214896
6,44.3921,0,33.9661,0,0,0,0,0,0,37.9378,0,0.000255334,0.000255334,0.000255334
7,51.2749,0,33.2611,0,0,0,0,0,0,37.9549,0,0.000293792,0.000293792,0.000293792
8,58.17,0,32.6014,0,0,0,0,0,0,38.4666,0,0.000330269,0.000330269,0.000330269
9,67.4785,0,31.8452,0,0,0,0,0,0,41.7733,0,0.000364766,0.000364766,0.000364766
10,75.7361,0,30.8199,0,0,0,0,0,0,44.6728,0,0.000397283,0.000397283,0.000397283
11,83.9311,0,29.9994,0,0,0,0,0,0,39.1133,0,0.000427819,0.000427819,0.000427819
12,91.7003,0,29.34,0,0,0,0,0,0,37.3436,0,0.000456375,0.000456375,0.000456375
13,99.6787,0,28.5023,0,0,0,0,0,0,283.903,0,0.00048295,0.00048295,0.00048295
14,107.283,0,27.9926,0,0,0,0,0,0,128.533,0,0.000507545,0.000507545,0.000507545
15,115.366,0,27.7244,0,0,0,0,0,0,114.715,0,0.000530159,0.000530159,0.000530159
16,123.019,0,26.9889,0,0,0,0,0,0,318.146,0,0.000550793,0.000550793,0.000550793
17,130.834,0,26.3719,0,0,0,0,0,0,102.877,0,0.000569447,0.000569447,0.000569447
18,138.906,0,25.8777,0,0,0,0,0,0,76.8566,0,0.000586121,0.000586121,0.000586121
19,146.59,0,25.6357,0,0,0,0,0,0,286.578,0,0.000600813,0.000600813,0.000600813
20,154.66,0,25.2965,0,0,0,0,0,0,173.993,0,0.000613526,0.000613526,0.000613526
21,162.276,0,25.1182,0,0,0,0,0,0,74.1108,0,0.000624258,0.000624258,0.000624258
22,169.977,0,24.8515,0,0,0,0,0,0,27.4236,0,0.00063301,0.00063301,0.00063301
23,177.594,0,24.6717,0,0,0,0,0,0,27.0931,0,0.000639781,0.000639781,0.000639781
24,185.341,0,24.323,0,0,0,0,0,0,31.1717,0,0.000644572,0.000644572,0.000644572
25,192.886,0,24.1045,0,0,0,0,0,0,43.3021,0,0.000647383,0.000647383,0.000647383
26,200.401,0,23.8286,0,0,0,0,0,0,102.271,0,0.000648213,0.000648213,0.000648213
27,207.918,0,23.6277,0,0,0,0,0,0,114.627,0,0.000647063,0.000647063,0.000647063
28,216.084,0,23.5068,0,0,0,0,0,0,29.2023,0,0.000643932,0.000643932,0.000643932
29,223.487,0,23.3273,0,0,0,0,0,0,29.2023,0,0.000638821,0.000638821,0.000638821
30,231.067,0,23.212,0,0,0,0,0,0,102.376,0,0.00063173,0.00063173,0.00063173
31,238.717,0,23.0315,0,0,0,0,0,0,78.2884,0,0.000622658,0.000622658,0.000622658
32,246.456,0,22.8542,0,0,0,0,0,0,109.292,0,0.000611606,0.000611606,0.000611606
33,254.064,0,22.7051,0,0,0,0,0,0,109.292,0,0.000598573,0.000598573,0.000598573
34,261.829,0,22.4758,0,0,0,0,0,0,30.7049,0,0.000577782,0.000577782,0.000577782
35,269.465,0,22.4775,0,0,0,0,0,0,28.007,0,0.000544776,0.000544776,0.000544776
36,277.142,0,22.2295,0,0,0,0,0,0,22.6327,0,0.000511769,0.000511769,0.000511769
37,285.059,0,22.1855,0,0,0,0,0,0,22.6327,0,0.000478762,0.000478762,0.000478762
38,292.617,0,21.9816,0,0,0,0,0,0,22.1862,0,0.000445756,0.000445756,0.000445756
39,300.551,0,21.8899,0,0,0,0,0,0,21.9835,0,0.000412749,0.000412749,0.000412749
40,308.74,0,21.8314,0,0,0,0,0,0,21.9392,0,0.000379743,0.000379743,0.000379743
41,316.381,0,21.7233,0,0,0,0,0,0,21.9392,0,0.000346736,0.000346736,0.000346736
42,324.748,0,21.5818,0,0,0,0,0,0,21.8357,0,0.000313729,0.000313729,0.000313729
43,333.793,0,21.5981,0,0,0,0,0,0,21.7467,0,0.000280723,0.000280723,0.000280723
44,342.272,0,21.5298,0,0,0,0,0,0,21.6922,0,0.000247716,0.000247716,0.000247716
45,350.514,0,21.3586,0,0,0,0,0,0,21.6922,0,0.00021471,0.00021471,0.00021471
46,358.798,0,21.3802,0,0,0,0,0,0,21.6706,0,0.000181703,0.000181703,0.000181703
47,366.7,0,21.4491,0,0,0,0,0,0,21.6845,0,0.000148696,0.000148696,0.000148696
48,374.464,0,21.2744,0,0,0,0,0,0,21.7536,0,0.00011569,0.00011569,0.00011569
49,382.007,0,21.2689,0,0,0,0,0,0,21.7536,0,8.26832e-05,8.26832e-05,8.26832e-05
50,389.125,0,21.2229,0,0,0,0,0,0,21.8674,0,4.96766e-05,4.96766e-05,4.96766e-05
